,open,high,low,close,volume,date
5072,72.9900,74.1000,72.8000,74.0000,16224400,2005-04-21
5073,75.4800,75.8700,71.8500,72.0100,20366300,2005-04-20
5074,76.9800,77.2000,75.2500,75.4800,9259900,2005-04-19
5075,77.1500,77.7500,76.1400,76.6500,13255000,2005-04-18
5076,79.4900,79.6600,76.3300,76.7000,27906300,2005-04-15
5077,84.6300,85.4100,83.4700,83.6400,10421200,2005-04-14
5078,85.7600,85.9722,84.2400,84.5700,7090700,2005-04-13
5079,85.9000,86.2400,85.1700,85.7500,8429700,2005-04-12
5080,87.3500,87.5600,86.0900,86.2000,8296500,2005-04-11
5081,88.2800,88.4600,87.5000,87.6000,5179200,2005-04-08
5082,89.0000,89.2000,88.1000,88.4400,6355700,2005-04-07
5083,89.0500,89.3800,88.7060,89.0000,7836800,2005-04-06
5084,90.2300,90.3300,89.2600,89.5700,4568400,2005-04-05
5085,90.0800,90.6200,89.7730,90.3200,3737800,2005-04-04
5086,91.4900,91.7600,90.0400,90.4400,5721200,2005-04-01
5087,90.4600,91.4100,90.2200,91.3800,4418600,2005-03-31
5088,90.3200,90.8800,90.3200,90.6800,5253900,2005-03-30
5089,90.7400,91.0700,90.1800,90.6000,6070400,2005-03-29
5090,90.7100,91.6300,90.6200,91.0400,4088900,2005-03-28
5091,90.8000,91.5500,90.7000,90.7000,4577100,2005-03-24
5092,89.9700,91.1700,89.8200,90.5200,5472100,2005-03-23
5093,89.6100,90.3400,89.2600,89.5000,4452500,2005-03-22
5094,89.4200,90.2800,89.2700,89.5100,4402400,2005-03-21
5095,89.8600,89.9000,89.0900,89.2800,7541500,2005-03-18
5096,90.4900,90.6800,89.7000,89.8600,5562100,2005-03-17
5097,90.7400,91.4000,90.2500,90.6500,5065300,2005-03-16
5098,92.0000,92.2700,91.2000,91.3800,3663100,2005-03-15
5099,91.5000,92.0400,91.5000,91.9000,3935500,2005-03-14
5100,92.2500,92.4100,91.2000,91.5100,4494300,2005-03-11
5101,92.3500,92.8000,92.0900,92.4100,3422500,2005-03-10
5102,92.0200,93.0000,92.0100,92.3500,4511200,2005-03-09
5103,91.7000,92.5600,91.7000,92.1300,5087800,2005-03-08
5104,92.3500,92.5100,91.5900,91.6000,7046900,2005-03-07
5105,92.9400,93.1800,92.3600,92.3700,4754000,2005-03-04
5106,93.1500,93.2100,92.2000,92.4100,4037800,2005-03-03
5107,92.7500,93.7300,92.7500,92.9200,4467400,2005-03-02
5108,92.6400,93.4300,92.5900,93.3000,3819900,2005-03-01
5109,92.5300,92.7600,92.4100,92.5800,4949800,2005-02-28
5110,92.3500,92.8000,92.2900,92.8000,4078500,2005-02-25
5111,91.9800,93.0900,91.8500,92.6400,4153900,2005-02-24
5112,92.2900,92.4400,91.5500,92.1000,5622800,2005-02-23
5113,92.6700,93.5000,92.2300,92.3200,4825100,2005-02-22
5114,93.7500,94.2500,92.5500,93.2700,4265300,2005-02-18
5115,94.5000,94.7600,93.7400,93.7500,4254200,2005-02-17
5116,94.2300,94.9700,94.2000,94.6200,4466500,2005-02-16
5117,93.5000,94.6700,93.4800,94.3300,4148000,2005-02-15
5118,93.1600,94.0200,93.1600,93.5700,2868800,2005-02-14
5119,92.7000,93.9700,92.5000,93.3000,4229300,2005-02-11
5120,92.9500,93.1000,92.3000,92.7600,4838400,2005-02-10
5121,94.1400,94.8300,92.5400,92.7000,5657100,2005-02-09
5122,94.2800,94.6400,94.1300,94.1300,3541100,2005-02-08
5123,94.3500,94.9000,94.3300,94.5300,2837800,2005-02-07
5124,93.0100,94.7400,93.0000,94.5100,3807600,2005-02-04
5125,93.8700,93.9400,93.0600,93.5400,3928700,2005-02-03
5126,93.7800,94.3500,93.6300,94.3000,3597400,2005-02-02
5127,93.6700,94.0000,93.3700,93.8600,3637400,2005-02-01
5128,93.6500,93.9500,93.0500,93.4200,4759900,2005-01-31
5129,92.6800,93.5900,92.4800,92.8900,5960600,2005-01-28
5130,91.5000,92.2200,91.4400,91.9800,4746900,2005-01-27
5131,92.3000,92.8700,91.9400,91.9500,5352000,2005-01-26
5132,91.9800,92.5900,91.9500,92.1900,5070700,2005-01-25
5133,92.7000,92.8500,91.7600,91.7900,6537300,2005-01-24
5134,93.0000,93.3000,92.2300,92.3800,7002600,2005-01-21
5135,92.6100,93.8400,92.6000,93.0000,5708600,2005-01-20
5136,94.9500,95.1500,92.9300,93.1000,7352700,2005-01-19
5137,93.6500,95.3400,93.6200,94.9000,8492100,2005-01-18
5138,94.0100,94.2500,93.5500,94.1000,5520800,2005-01-14
5139,95.3900,96.2000,93.7000,94.4500,5339400,2005-01-13
5140,95.0000,95.2800,94.0600,95.2100,5828600,2005-01-12
5141,95.6800,95.7900,94.7100,95.0000,4746400,2005-01-11
5142,95.7800,96.0900,95.2400,95.6800,4625100,2005-01-10
5143,96.5000,96.8000,95.4700,95.7800,6200700,2005-01-07
5144,96.5400,96.9800,96.0500,96.2000,4561700,2005-01-06
5145,96.6000,97.8300,96.4000,96.5000,5646700,2005-01-05
5146,97.7400,98.4200,96.5200,96.7000,5711000,2005-01-04
5147,98.9700,99.1000,97.2500,97.7500,5295200,2005-01-03
5148,98.6000,98.9100,98.4900,98.5800,2793200,2004-12-31
5149,98.1000,99.0000,98.0700,98.3000,3812400,2004-12-30
5150,97.8100,98.4700,97.8000,98.1800,3296300,2004-12-29
5151,97.4000,98.5500,97.3700,98.3000,4336400,2004-12-28
5152,97.6900,97.9700,97.3800,97.5000,3262900,2004-12-27
5153,97.5000,98.0000,97.5000,97.7200,3590600,2004-12-23
5154,97.3500,97.9800,97.2900,97.6100,4950100,2004-12-22
5155,96.5900,97.1500,96.5100,97.0200,4841800,2004-12-21
5156,96.3500,97.5700,96.3500,96.5500,4769900,2004-12-20
5157,97.0000,98.0000,96.2000,96.2000,8853100,2004-12-17
5158,96.8000,98.1500,96.8000,97.4500,5660100,2004-12-16
5159,96.9200,97.7000,96.8100,97.3300,3914500,2004-12-15
5160,96.3000,97.7000,96.2884,97.3100,4493200,2004-12-14
5161,96.8500,97.2000,96.0800,96.4500,4799500,2004-12-13
5162,96.1000,97.9900,96.1000,96.6700,4188300,2004-12-10
5163,96.2000,97.6000,95.7100,97.5100,5713700,2004-12-09
5164,96.4300,97.3500,95.7700,96.6500,5310700,2004-12-08
5165,97.7000,98.2500,95.9900,96.1000,6477100,2004-12-07
5166,96.8800,97.9000,96.6500,97.6700,5263000,2004-12-06
5167,96.5500,97.6300,96.5500,97.0800,7026800,2004-12-03
5168,95.6500,96.7800,95.4900,95.7600,5152300,2004-12-02
5169,94.5000,96.0700,94.4700,95.8800,5664500,2004-12-01
5170,95.1500,95.6500,94.2400,94.2400,5870300,2004-11-30
5171,94.9400,96.3800,94.9400,95.5000,5699800,2004-11-29
5172,95.0500,95.3800,94.5800,94.7200,2204300,2004-11-26
5173,95.0400,95.7900,95.0375,95.4600,3750600,2004-11-24
5174,94.7000,95.3700,94.5500,95.2800,5529900,2004-11-23
5175,94.3000,95.4000,94.1600,95.1100,5814100,2004-11-22
5176,94.9500,95.1600,94.2500,94.4500,5679100,2004-11-19
5177,95.3600,95.7000,95.0300,95.1000,4655900,2004-11-18
5178,95.3000,96.6300,95.3000,95.4600,6353200,2004-11-17
5179,95.2500,95.5000,94.6500,94.8900,5684100,2004-11-16
5180,95.0800,96.0000,94.8000,95.9200,4887600,2004-11-15
5181,94.6600,95.5000,94.5600,95.3200,4958400,2004-11-12
5182,93.6000,95.2200,93.5400,94.7900,7453400,2004-11-11
5183,92.9200,94.3000,92.9200,93.6100,6258400,2004-11-10
5184,93.0000,93.9500,93.0000,93.3700,4513100,2004-11-09
5185,92.5000,93.7000,92.5000,93.3700,4907300,2004-11-08
5186,92.4000,93.5200,92.4000,93.2800,6708400,2004-11-05
5187,91.0500,92.7000,90.8200,92.3800,6951600,2004-11-04
5188,91.2500,91.9000,90.9700,91.2000,6553300,2004-11-03
5189,89.5500,91.2200,89.5000,90.4700,5388700,2004-11-02
5190,89.3300,90.6000,89.2300,90.1100,5160600,2004-11-01
5191,89.4000,89.9000,88.9500,89.7500,4518500,2004-10-29
5192,89.8000,90.2400,89.4300,89.5000,4226500,2004-10-28
5193,88.5800,90.2700,88.5000,90.0000,6035100,2004-10-27
5194,88.3300,89.5700,88.2500,89.0000,7335800,2004-10-26
5195,87.3600,88.9000,87.3100,88.4300,5774500,2004-10-25
5196,88.2200,88.4500,87.2900,87.3900,5988700,2004-10-22
5197,88.4000,88.7600,87.6600,88.1000,6137500,2004-10-21
5198,88.4500,89.1900,88.2900,88.8200,6926800,2004-10-20
5199,88.2000,89.7300,88.0000,89.3700,13692200,2004-10-19
5200,84.3000,86.1500,84.2900,85.9200,7182600,2004-10-18
